"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 02:19:55 UTC 2025","Sun Mar 16 02:19:55 UTC 2025","419","chromium","floatingMenu/floatingMenu.spec.ts","Floating Menu Page","","","Повинен відображати правильний заголовок сторінки",""
"passed","Sun Mar 16 02:19:06 UTC 2025","Sun Mar 16 02:19:14 UTC 2025","8248","chromium","dynamicControls/dynamicControls.spec.ts","Dynamic Controls Page","","","should disable input field after clicking disable button",""
"failed","Sun Mar 16 02:19:43 UTC 2025","Sun Mar 16 02:19:50 UTC 2025","6688","chromium","entryAd/entryAd.spec.ts","Entry Ad Page","","","should re-enable modal window",""
"passed","Sun Mar 16 02:20:05 UTC 2025","Sun Mar 16 02:20:05 UTC 2025","625","chromium","home/homePage.spec.ts","Home Page Navigation","","","Перехід на сторінку Broken Images",""
"passed","Sun Mar 16 02:20:13 UTC 2025","Sun Mar 16 02:20:13 UTC 2025","468","chromium","javascriptAlerts/javascriptAlerts.spec.ts","JavaScript Alerts","","","Alert: Користувач може прийняти повідомлення",""
"passed","Sun Mar 16 02:20:21 UTC 2025","Sun Mar 16 02:20:22 UTC 2025","585","chromium","sortableTables/sortableTables.spec.ts","Sortable Data Tables Page","","","Table 2: Сортування по ""Email""",""
"passed","Sun Mar 16 02:20:24 UTC 2025","Sun Mar 16 02:20:25 UTC 2025","1173","chromium","typos/typos.spec.ts","Typos Page","","","Користувач бачить правильний текст без помилок",""
"passed","Sun Mar 16 02:20:13 UTC 2025","Sun Mar 16 02:20:14 UTC 2025","430","chromium","javascriptAlerts/javascriptAlerts.spec.ts","JavaScript Alerts","","","Confirm: Користувач приймає підтвердження",""
"passed","Sun Mar 16 02:18:40 UTC 2025","Sun Mar 16 02:18:41 UTC 2025","475","chromium","contextMenu/contextMenu.spec.ts","Context Menu Page","","","should display alert with context menu message",""
"passed","Sun Mar 16 02:20:18 UTC 2025","Sun Mar 16 02:20:19 UTC 2025","1051","chromium","notificationMessages/notificationMessages.spec.ts","Notification Messages Page","","","Можна клікати декілька разів і перевіряти повідомлення",""
"passed","Sun Mar 16 02:19:59 UTC 2025","Sun Mar 16 02:19:59 UTC 2025","606","chromium","formAuth/formAuth.spec.ts","Form Authentication Page","","","Повинен показувати коректне повідомлення після логіну",""
"passed","Sun Mar 16 02:20:06 UTC 2025","Sun Mar 16 02:20:07 UTC 2025","461","chromium","hovers/hovers.spec.ts","Hovers Page","","","Навели на третю картинку, з'явився підпис та кнопка",""
"passed","Sun Mar 16 02:18:48 UTC 2025","Sun Mar 16 02:18:53 UTC 2025","4364","chromium","dynamicControls/dynamicControls.spec.ts","Dynamic Controls Page","","","should remove checkbox after clicking remove button",""
"passed","Sun Mar 16 02:20:12 UTC 2025","Sun Mar 16 02:20:13 UTC 2025","448","chromium","inputs/inputs.spec.ts","Inputs Page","","","Можна декрементувати значення стрілкою вниз",""
"passed","Sun Mar 16 02:18:34 UTC 2025","Sun Mar 16 02:18:34 UTC 2025","412","chromium","basicAuth/basicAuth.spec.ts","Basic Auth Page","","","should authenticate successfully with valid credentials",""
"passed","Sun Mar 16 02:20:22 UTC 2025","Sun Mar 16 02:20:23 UTC 2025","497","chromium","statusCodes/statusCodes.spec.ts","Status Codes Page","","","Сторінка 301 повертає правильний опис",""
